,product_id,address,price,area,bedrooms_num,bathrooms_num
26456,41802256,"Quận 3, Hồ Chí Minh",160000000000.0,380.0,0,0
26457,42113207,"Phủ Lý, Hà Nam",6000000000.0,60.0,3,3
26459,42058645,"Long Biên, Hà Nội",8500000000.0,40.0,0,0
26460,42113204,"Hà Đông, Hà Nội",4250000000.0,70.0,2,2
26461,39732920,"Gò Vấp, Hồ Chí Minh",18600000000.0,104.0,0,0
26462,42113331,"Gia Lâm, Hà Nội",2270000000.0,46.5,1,1
26463,40501805,"Đức Hòa, Long An",82000000000.0,11600.0,0,0
26464,41917467,"Gò Vấp, Hồ Chí Minh",52000000000.0,234.0,89,90
26466,41311953,"Quận 2, Hồ Chí Minh",25000000000.0,161.0,0,0
26467,42113297,"Quận 12, Hồ Chí Minh",860000000.0,20.0,2,1
26469,40533451,"Bình Tân, Hồ Chí Minh",570000000000.0,14000.0,0,0
26470,40278623,"Quận 1, Hồ Chí Minh",41000000000.0,150.0,0,0
26471,42113197,"Văn Giang, Hưng Yên",3580000000.0,137.5,0,0
26473,42012311,"Gia Lâm, Hà Nội",3000000000.0,60.0,0,0
26474,42113205,"Ba Đình, Hà Nội",57580000000.0,164.5,4,2
26475,42113205,"Ba Đình, Hà Nội",57580000000.0,164.5,4,2
26477,40048963,"Quận 2, Hồ Chí Minh",24500000000.0,115.0,4,4
26478,42070079,"Cầu Giấy, Hà Nội",7300000000.0,35.0,5,4
26479,42113190,"Hoài Đức, Hà Nội",3500000000.0,34.0,3,4
26480,42113224,"Hải An, Hải Phòng",1840000000.0,72.0,0,0
26481,40533500,"Hóc Môn, Hồ Chí Minh",49000000000.0,7382.0,0,0
26482,42113189,"Dĩ An, Bình Dương",3150000000.0,89.0,2,0
26484,42113310,"Nhà Bè, Hồ Chí Minh",23000000000.0,160.0,0,0
26485,42095404,"Thanh Xuân, Hà Nội",8850000000.0,97.23,0,0
26487,42113301,"Bình Thạnh, Hồ Chí Minh",25500000000.0,170.0,0,0
26488,39104116,"Tây Hồ, Hà Nội",6000000000.0,76.0,1,0
26489,42113179,"Quận 9, Hồ Chí Minh",13500000000.0,176.6,0,0
26491,40643253,"Quận 9, Hồ Chí Minh",36000000000.0,1540.0,0,0
26493,42113176,"Thủ Đức, Hồ Chí Minh",60000000000.0,970.0,45,45
26494,42113176,"Thủ Đức, Hồ Chí Minh",60000000000.0,970.0,45,45
26495,41841483,"Nam Từ Liêm, Hà Nội",5500000000.0,35.0,3,4
26496,41770059,"Tân Bình, Hồ Chí Minh",51000000000.0,226.0,0,0
26497,40658368,"Đức Huệ, Long An",50000000000.0,200000.0,0,0
26498,41849887,"Phú Nhuận, Hồ Chí Minh",3300000000.0,100.0,2,2
26499,40784343,"Tân An, Long An",115000000000.0,17495.0,0,0
26500,42008251,"Vũng Tàu, Bà Rịa Vũng Tàu",2100000000.0,48.0,2,1
26501,39962534,"Quận 2, Hồ Chí Minh",18000000000.0,100.0,3,4
26503,40749382,"Thủ Đức, Hồ Chí Minh",7500000000.0,123.4,0,0
26505,42113295,"Hoàng Mai, Hà Nội",3680000000.0,39.9,0,0
26506,42113163,"Quận 7, Hồ Chí Minh",54500000000.0,180.0,0,0
26507,37701688,"Hạ Long, Quảng Ninh",1500000000.0,57.0,2,2
26509,42113155,"Ngũ Hành Sơn, Đà Nẵng",2900000000.0,100.0,0,0
26510,42113154,"Buôn Ma Thuột, Đắk Lắk",2700000000.0,136.0,0,0
26511,42113188,"Nha Trang, Khánh Hòa",17500000000.0,180.0,3,4
26513,42113188,"Nha Trang, Khánh Hòa",17500000000.0,180.0,3,4
26515,41442440,"Nam Từ Liêm, Hà Nội",9900000000.0,55.0,9,9
26516,41977485,"Thủ Đức, Hồ Chí Minh",5300000000.0,90.0,0,0
26518,42113147,"Sơn Trà, Đà Nẵng",6900000000.0,71.0,2,2
26519,41575638,"Đông Anh, Hà Nội",4700000000.0,81.0,0,0
26520,38948061,"Thuận An, Bình Dương",10500000000.0,300.0,4,4
26521,42113146,"Thủ Đức, Hồ Chí Minh",4500000000.0,52.0,2,2
26522,42113283,"Nam Từ Liêm, Hà Nội",29500000000.0,102.0,26,27
26524,41883382,"Phú Nhuận, Hồ Chí Minh",22000000000.0,72.0,10,11
26525,40828386,"Đống Đa, Hà Nội",26600000000.0,90.0,6,6
26526,42108560,"Cẩm Lệ, Đà Nẵng",4200000000.0,100.0,3,2
26528,41082684,"Quận 12, Hồ Chí Minh",3500000000.0,84.0,0,0
26529,41624266,"Nam Từ Liêm, Hà Nội",8500000000.0,50.0,9,9
26530,41289257,"Quận 10, Hồ Chí Minh",8900000000.0,44.0,4,3
26531,41182896,"Gò Vấp, Hồ Chí Minh",4800000000.0,41.5,3,0
26532,41289257,"Quận 10, Hồ Chí Minh",8900000000.0,44.0,4,3
26533,41182896,"Gò Vấp, Hồ Chí Minh",4800000000.0,41.5,3,0
26534,40240991,"Từ Sơn, Bắc Ninh",7700000000.0,135.0,3,5
26535,41992766,"Đống Đa, Hà Nội",3400000000.0,65.0,2,2
